survey_start_date,survey_end_date,chain_id,business_id,score,category,date,country_id,order_id,comment
00:00.0,00:00.0,25,1009,8,Passive,53:19.0,12,11149,es mas rapido 
00:00.0,00:00.0,25,617,9,Promoter,43:01.0,12,11405,entrega contra pago
00:00.0,00:00.0,25,1735,8,Passive,56:50.0,12,11073,la labor de venta del ejecutivo es increible y deberian tener mejores precios mas seguido
00:00.0,00:00.0,25,1601,10,Promoter,02:34.0,12,11160,por el servicio del ejecutivo
00:00.0,00:00.0,25,1443,10,Promoter,47:31.0,12,11245,facilidad 
00:00.0,00:00.0,25,996,10,Promoter,15:46.0,12,11551,facidad
00:00.0,00:00.0,25,1116,10,Promoter,22:49.0,12,11558,mar
00:00.0,00:00.0,25,1132,10,Promoter,17:06.0,12,11660,faciñidad
00:00.0,00:00.0,25,1853,10,Promoter,40:15.0,12,12016,promociones
00:00.0,00:00.0,25,1568,10,Promoter,15:25.0,12,11634,Por el. Servicio del ejecutivo 
00:00.0,00:00.0,25,859,8,Passive,11:02.0,12,11807,Si
00:00.0,00:00.0,25,513,6,Detractor,57:43.0,12,11974,falta mucho producto  pero el servicio que da el preventa es muy bueno
00:00.0,00:00.0,25,1719,10,Promoter,19:26.0,12,11830,.
00:00.0,00:00.0,25,1027,8,Passive,15:06.0,12,12184,precio
00:00.0,00:00.0,25,1116,9,Promoter,36:26.0,12,12675,h
00:00.0,00:00.0,25,853,10,Promoter,25:01.0,12,12671,"Rapidez, eficiencia "
00:00.0,00:00.0,25,1568,7,Passive,15:41.0,12,13175,Por la. Atención del. Ejecutivo 
00:00.0,00:00.0,25,853,10,Promoter,06:43.0,12,14053,Buenas promo
00:00.0,00:00.0,25,1102,8,Passive,05:48.0,12,13886,e
00:00.0,00:00.0,25,1116,8,Passive,52:26.0,12,13901,y
00:00.0,00:00.0,25,1005,10,Promoter,53:57.0,12,14568,por el ejecutivo
00:00.0,00:00.0,25,1900,10,Promoter,57:35.0,12,14661,Buen servicio 
00:00.0,00:00.0,25,1708,9,Promoter,23:51.0,12,14470,muy práctico para hacer los pedidos
00:00.0,00:00.0,25,2034,9,Promoter,51:37.0,12,14934,es seguro
00:00.0,00:00.0,25,841,8,Passive,27:59.0,12,14635,","
00:00.0,00:00.0,25,1884,1,Detractor,47:58.0,12,15397,nomas
00:00.0,00:00.0,25,1568,10,Promoter,16:00.0,12,15400,Excelente servicio 
00:00.0,00:00.0,25,841,10,Promoter,22:25.0,12,18087,rapidez
00:00.0,00:00.0,25,513,5,Detractor,38:04.0,12,18692,solo por la stencion del preventa porque falta mucho producto y casi nunca hay promociones atractivas
00:00.0,00:00.0,25,1564,10,Promoter,35:55.0,12,26242,El ejecutivo es muy amable 
00:00.0,00:00.0,25,1564,10,Promoter,40:54.0,12,30460,Por sus atenciones 
00:00.0,00:00.0,25,16728,10,Promoter,49:33.0,12,87450,SI
00:00.0,00:00.0,25,16582,10,Promoter,30:52.0,12,89020,excelente servicio 
00:00.0,00:00.0,25,16991,8,Passive,53:28.0,12,91453,2
00:00.0,00:00.0,25,17635,10,Promoter,46:12.0,12,100308,muy buena aplicacion
00:00.0,00:00.0,25,16746,9,Promoter,17:42.0,12,100145,FACIL Y RAPIDO
00:00.0,00:00.0,25,4024,9,Promoter,07:51.0,12,100150,si
00:00.0,00:00.0,25,16582,10,Promoter,13:24.0,12,94204,excelente 
00:00.0,00:00.0,25,18278,10,Promoter,37:02.0,12,101824,excelente servicio
00:00.0,00:00.0,25,16969,10,Promoter,45:27.0,12,107635,muy bien
00:00.0,00:00.0,25,17037,10,Promoter,11:31.0,12,104864,facil
00:00.0,00:00.0,25,16753,9,Promoter,50:10.0,12,105259,facil
00:00.0,00:00.0,25,18318,10,Promoter,37:15.0,12,105532,BUENA
00:00.0,00:00.0,25,16855,9,Promoter,25:37.0,12,100628,Esta chida la página y buenos precios
00:00.0,00:00.0,25,16755,10,Promoter,17:41.0,12,89417,rapido el proceso
00:00.0,00:00.0,25,16999,9,Promoter,51:51.0,12,102918,Buenas ofertas
00:00.0,00:00.0,25,16989,9,Promoter,50:39.0,12,108362,DIVERTIDO
00:00.0,00:00.0,25,19055,7,Passive,58:41.0,12,110080,.
00:00.0,00:00.0,25,17000,10,Promoter,24:07.0,12,91826,FACIL Y RAPIDO
00:00.0,00:00.0,25,18318,10,Promoter,24:11.0,12,110266,buena
00:00.0,00:00.0,25,17275,10,Promoter,05:57.0,12,115023,.
00:00.0,00:00.0,25,16763,10,Promoter,39:58.0,12,94665,HAY TODOS LOS PRODCUTOS
00:00.0,00:00.0,25,17625,10,Promoter,22:18.0,12,112241,muy bien 
00:00.0,00:00.0,25,16991,10,Promoter,54:04.0,12,96787,bueno
00:00.0,00:00.0,25,17159,10,Promoter,07:36.0,12,109965,facil y rapido para realizar pedidos
00:00.0,00:00.0,25,16855,8,Passive,37:11.0,12,109984,Esta chida 
00:00.0,00:00.0,25,17529,10,Promoter,57:42.0,12,113877,1
00:00.0,00:00.0,25,16855,8,Passive,35:57.0,12,119891,ojo
00:00.0,00:00.0,25,16693,10,Promoter,20:09.0,12,130539,ok
00:00.0,00:00.0,25,18318,10,Promoter,53:35.0,12,121345,BUENA
00:00.0,00:00.0,25,19950,10,Promoter,03:38.0,12,119527,10
00:00.0,00:00.0,25,17571,9,Promoter,29:10.0,12,110024,si
00:00.0,00:00.0,25,20993,10,Promoter,58:21.0,12,130538,b
00:00.0,00:00.0,25,19625,10,Promoter,42:59.0,12,117226,SI
00:00.0,00:00.0,25,17529,7,Passive,06:05.0,12,136771,gg
00:00.0,00:00.0,25,17316,4,Detractor,58:52.0,12,129543,v
00:00.0,00:00.0,25,16855,10,Promoter,33:24.0,12,143545,BUENA
00:00.0,00:00.0,25,21631,10,Promoter,50:48.0,12,149234,Muy bien
00:00.0,00:00.0,25,18318,10,Promoter,01:25.0,12,156377,buena
00:00.0,00:00.0,25,17275,10,Promoter,16:17.0,12,154519,.
00:00.0,00:00.0,25,1250,9,Promoter,20:37.0,12,219527,aaaa
00:00.0,00:00.0,25,22869,10,Promoter,06:40.0,12,183287,buena
00:00.0,00:00.0,25,1036,8,Passive,21:30.0,12,5945,las promociones son son tan buenas
00:00.0,00:00.0,25,1813,10,Promoter,07:21.0,12,6002,por q es mas facil
00:00.0,00:00.0,25,1027,8,Passive,02:05.0,12,6363,por las promociones
00:00.0,00:00.0,25,1723,10,Promoter,19:47.0,12,7631,muy buenas promociones 
00:00.0,00:00.0,25,1116,10,Promoter,17:22.0,12,8542,Facilidad 
00:00.0,00:00.0,25,1027,8,Passive,02:45.0,12,8735,por las promociones
00:00.0,00:00.0,25,1001,10,Promoter,00:23.0,12,8760,promociones 
00:00.0,00:00.0,25,1708,10,Promoter,29:02.0,12,8767,por lo fácil de acceder en la aplicación
00:00.0,00:00.0,25,1084,8,Passive,58:09.0,12,9278,1ra vez que uso la aplicación 
00:00.0,00:00.0,25,1102,10,Promoter,53:58.0,12,11168,facilita
00:00.0,00:00.0,25,1481,8,Passive,11:58.0,12,11418,ya que se sgregaron nuevos productos
00:00.0,00:00.0,25,1036,5,Detractor,28:34.0,12,11550,"los precios de lista estan elevados ya que tengo dexcuento adicional, solo me conviene comprar con promocion, y el servicio del ejecutivo es exelente"
00:00.0,00:00.0,25,1950,10,Promoter,18:17.0,12,14694,buena atención
00:00.0,00:00.0,25,1950,10,Promoter,32:13.0,12,17659,","
00:00.0,00:00.0,25,1568,10,Promoter,39:51.0,12,17734,El trato del Ejecutivo es muy convincente 
00:00.0,00:00.0,25,16738,10,Promoter,05:37.0,12,87519,.
00:00.0,00:00.0,25,17254,9,Promoter,01:57.0,12,91384,Muy buena App para la toma de pedido
00:00.0,00:00.0,25,17514,10,Promoter,04:58.0,12,98154,PRÁCTICO
00:00.0,00:00.0,25,16969,10,Promoter,49:03.0,12,100294,ok
00:00.0,00:00.0,25,16997,10,Promoter,08:16.0,12,113923,Práctico
00:00.0,00:00.0,25,17254,10,Promoter,38:34.0,12,136826,bien
00:00.0,00:00.0,84,5833,10,Promoter,05:54.0,12,17549,por el servicio
00:00.0,00:00.0,27,1,1,Detractor,06:24.0,12,5667,PUES
00:00.0,00:00.0,27,4,10,Promoter,41:15.0,12,5660,OK
00:00.0,00:00.0,84,5792,10,Promoter,23:03.0,12,18024,10
00:00.0,00:00.0,34,4622,10,Promoter,51:53.0,3,4969,10
00:00.0,00:00.0,34,4623,6,Detractor,34:13.0,3,4971,Excelente 
00:00.0,00:00.0,34,4619,10,Promoter,45:46.0,3,4960,me parece bueno
00:00.0,00:00.0,34,4341,10,Promoter,51:32.0,3,5005,son muy eficaces en las entregas
00:00.0,00:00.0,34,4432,10,Promoter,59:43.0,3,4985,porque tienen muchas ofertas
00:00.0,00:00.0,34,4415,5,Detractor,43:45.0,3,5049,muy bueno pero hay produtos regulares que no deja facturar las cantidades pedidas
00:00.0,00:00.0,34,4320,10,Promoter,51:06.0,3,4967,Bueno 
00:00.0,00:00.0,34,3740,1,Detractor,48:39.0,3,5004,q
00:00.0,00:00.0,34,4628,10,Promoter,26:08.0,3,4977,10
00:00.0,00:00.0,34,4545,6,Detractor,06:55.0,3,5038,es bueno pero faltan mas ofertas
00:00.0,00:00.0,34,4624,10,Promoter,18:28.0,3,4972,genial
00:00.0,00:00.0,34,3888,8,Passive,31:38.0,3,5058,es miy bueno 
00:00.0,00:00.0,34,4416,10,Promoter,52:37.0,3,5069,muy buen servicio
00:00.0,00:00.0,34,4368,10,Promoter,53:33.0,3,5028,Excelente atencion
00:00.0,00:00.0,34,4288,7,Passive,24:08.0,3,5083,muy bueno
00:00.0,00:00.0,34,4273,5,Detractor,19:45.0,3,5070,por favor revisar las notas gracias
00:00.0,00:00.0,34,4399,6,Detractor,58:18.0,3,5035,mu demorado 
00:00.0,00:00.0,34,4383,5,Detractor,41:06.0,3,4974,por supuesto
00:00.0,00:00.0,34,4538,10,Promoter,58:50.0,3,5036,excelwbtw
00:00.0,00:00.0,34,4375,6,Detractor,57:57.0,3,4964,apenas estamos empezando 
00:00.0,00:00.0,34,4626,10,Promoter,35:01.0,3,4975,10
00:00.0,00:00.0,34,4462,8,Passive,26:47.0,3,5115,esta bien
00:00.0,00:00.0,34,4520,6,Detractor,25:57.0,3,4976,lo monto por colaborar sl vendedor pero no estoy deacuerdo con la aplicación
00:00.0,00:00.0,34,4393,9,Promoter,12:04.0,3,5117,hv 
00:00.0,00:00.0,34,4579,6,Detractor,26:16.0,3,5105,los pedidos no llegan el dia que es 
00:00.0,00:00.0,34,4478,4,Detractor,29:55.0,3,5126, 
00:00.0,00:00.0,34,4612,6,Detractor,29:47.0,3,5039,bien
00:00.0,00:00.0,34,4482,9,Promoter,34:27.0,3,5119,.
00:00.0,00:00.0,34,4601,5,Detractor,59:58.0,3,5143,me gustaría que el vendedor me siga atención
00:00.0,00:00.0,34,4376,10,Promoter,56:23.0,3,5043,10
00:00.0,00:00.0,34,4620,10,Promoter,13:29.0,3,4963,10
00:00.0,00:00.0,34,4550,7,Passive,48:17.0,3,5040,es bueno pero falta mas aclarida en las cantidades de las referencias
00:00.0,00:00.0,34,4469,10,Promoter,36:59.0,3,5054,la variedad
00:00.0,00:00.0,34,4253,5,Detractor,42:40.0,3,5062,falta muchas referencias en el portafilio
00:00.0,00:00.0,34,4522,6,Detractor,51:51.0,3,4980,esta bien pero hay mucho produto que no aparece
00:00.0,00:00.0,34,4264,7,Passive,53:51.0,3,5072,no me han llegado los pedidos a tiempo.
00:00.0,00:00.0,34,4688,5,Detractor,14:40.0,3,5152,mas o menks
00:00.0,00:00.0,34,4690,4,Detractor,57:39.0,3,5156,Es buena 
00:00.0,00:00.0,34,4421,10,Promoter,13:15.0,3,4995,Excelente
00:00.0,00:00.0,34,4265,6,Detractor,18:39.0,3,5065,es buena pero tienen muchos agotados como hace uno para llegar a los$80 mil
00:00.0,00:00.0,34,4726,4,Detractor,56:55.0,3,5200,deseo que me visite la vendedora
00:00.0,00:00.0,34,4565,5,Detractor,58:12.0,3,5067,a veces no llega el dia programado
00:00.0,00:00.0,34,4709,10,Promoter,33:52.0,3,5187,10
00:00.0,00:00.0,34,4326,8,Passive,40:17.0,3,5079,falta detallar un poco mas los productos como sabores y tamaño
00:00.0,00:00.0,34,4708,10,Promoter,47:39.0,3,5188,muy bueno
00:00.0,00:00.0,34,3593,10,Promoter,14:56.0,3,5061,buena atencion
00:00.0,00:00.0,34,4490,8,Passive,41:52.0,3,5121,.
00:00.0,00:00.0,34,4374,10,Promoter,51:41.0,3,5237,eficacia
00:00.0,00:00.0,34,4439,6,Detractor,20:06.0,3,5078,no me llega el pedido cuando digo.
00:00.0,00:00.0,34,4447,8,Passive,03:31.0,3,5076,X
00:00.0,00:00.0,34,4586,8,Passive,06:04.0,3,5122,.
00:00.0,00:00.0,34,4283,6,Detractor,09:02.0,3,5080,Es bueno pero no deja pedir muchas ofertas
00:00.0,00:00.0,34,4731,10,Promoter,03:33.0,3,5207,Muy facil
00:00.0,00:00.0,34,4707,8,Passive,49:17.0,3,5186,8
00:00.0,00:00.0,34,4744,7,Passive,07:13.0,3,5256,si
00:00.0,00:00.0,34,4756,10,Promoter,18:13.0,3,5287,Buenas 
00:00.0,00:00.0,34,4284,9,Promoter,57:43.0,3,5225,6??????
00:00.0,00:00.0,34,4720,7,Passive,47:01.0,3,5203,Excelente
00:00.0,00:00.0,34,4719,10,Promoter,34:13.0,3,5195,muy facil de manejar
00:00.0,00:00.0,34,4703,10,Promoter,20:36.0,3,5185,muy bueno
00:00.0,00:00.0,34,4293,8,Passive,32:25.0,3,5106,esta bien lo de las promociones 
00:00.0,00:00.0,34,4723,5,Detractor,16:02.0,3,5197,bien
00:00.0,00:00.0,34,4519,10,Promoter,48:12.0,3,5257,10
00:00.0,00:00.0,34,4729,5,Detractor,55:45.0,3,5204,si
00:00.0,00:00.0,34,4715,4,Detractor,29:46.0,3,5190,no me gusta 
00:00.0,00:00.0,34,4718,10,Promoter,45:28.0,3,5194,10
00:00.0,00:00.0,34,4750,10,Promoter,14:13.0,3,5275,10
00:00.0,00:00.0,34,4721,10,Promoter,12:18.0,3,5196,10
00:00.0,00:00.0,34,4740,4,Detractor,20:53.0,3,5247,Si
00:00.0,00:00.0,34,4686,7,Passive,19:18.0,3,5142,", "
00:00.0,00:00.0,34,4477,9,Promoter,18:12.0,3,5356,"Buenas promociones, facil de manejar y cumplimiento en la entrega "
00:00.0,00:00.0,34,4754,9,Promoter,15:50.0,3,5282,bueno
00:00.0,00:00.0,34,4751,9,Promoter,59:19.0,3,5283,9
00:00.0,00:00.0,34,4717,10,Promoter,08:33.0,3,5272,Muy bueno
00:00.0,00:00.0,34,4758,3,Detractor,43:16.0,3,5289,si
00:00.0,00:00.0,34,4243,10,Promoter,53:16.0,3,5277,complicada  para  mi edad
00:00.0,00:00.0,34,4254,7,Passive,46:59.0,3,5231,Buenas promociones 
00:00.0,00:00.0,34,4442,10,Promoter,07:40.0,3,5407,super el servicio 
00:00.0,00:00.0,34,4730,10,Promoter,48:28.0,3,5206,facil de aplicar
00:00.0,00:00.0,34,4759,10,Promoter,54:25.0,3,5292,bueno
00:00.0,00:00.0,34,4839,10,Promoter,58:25.0,3,5418,Excelente manera de montar pedido 
00:00.0,00:00.0,34,4802,10,Promoter,14:23.0,3,5351,10
00:00.0,00:00.0,34,4737,1,Detractor,37:14.0,3,5235,una
00:00.0,00:00.0,34,4808,10,Promoter,22:25.0,3,5360,esta muy buena la aplicación y el acompañamiento de sus ejecutivos
00:00.0,00:00.0,34,4522,9,Promoter,59:59.0,3,5453,9
00:00.0,00:00.0,34,4738,5,Detractor,28:00.0,3,5240,si
00:00.0,00:00.0,34,3706,9,Promoter,50:57.0,3,5246,miy bueno 
00:00.0,00:00.0,34,4234,7,Passive,42:59.0,3,5242,j
00:00.0,00:00.0,34,4747,9,Promoter,00:11.0,3,5263,9
00:00.0,00:00.0,34,3580,10,Promoter,14:28.0,3,5385,ccomplicado para mi edad
00:00.0,00:00.0,34,4804,9,Promoter,12:35.0,3,5415,","
00:00.0,00:00.0,34,4761,7,Passive,50:01.0,3,5296,bien. 
00:00.0,00:00.0,34,4383,9,Promoter,41:26.0,3,5449,9
00:00.0,00:00.0,34,4768,10,Promoter,55:23.0,3,5312,recomendado 
00:00.0,00:00.0,34,4869,10,Promoter,14:51.0,3,5460,no lo se manejar
00:00.0,00:00.0,34,3880,10,Promoter,09:47.0,3,5367,muy buena 
00:00.0,00:00.0,34,4849,10,Promoter,59:03.0,3,5440,10
00:00.0,00:00.0,34,4267,10,Promoter,11:37.0,3,5380,facil de usar 
00:00.0,00:00.0,34,4714,7,Passive,30:35.0,3,10142,buena
00:00.0,00:00.0,34,4284,9,Promoter,04:07.0,3,10117,v
00:00.0,00:00.0,34,4610,10,Promoter,03:16.0,3,10159,exelente
00:00.0,00:00.0,34,4572,10,Promoter,02:22.0,3,10119,muy eficiente el servicio
00:00.0,00:00.0,34,4727,8,Passive,02:21.0,3,10136,malo
00:00.0,00:00.0,34,4735,10,Promoter,55:37.0,3,10134,bueno
00:00.0,00:00.0,34,4320,10,Promoter,53:28.0,3,10122,Buenos
00:00.0,00:00.0,34,4751,8,Passive,04:42.0,3,10261,No
00:00.0,00:00.0,34,4522,8,Passive,00:17.0,3,10169,se demoran en llegar los pedidos
00:00.0,00:00.0,34,4826,2,Detractor,54:50.0,3,10291,"no avisan los agotados , no cumplen con las politicas de entrega."
00:00.0,00:00.0,34,4614,10,Promoter,18:06.0,3,10181,por sus precios y promociones
00:00.0,00:00.0,34,4750,2,Detractor,14:28.0,3,10286,le falta mas orden ala aplicacion 
00:00.0,00:00.0,34,4845,1,Detractor,58:46.0,3,10201,faltan muchos productos por la app
00:00.0,00:00.0,34,4370,8,Passive,09:49.0,3,10202,buena
00:00.0,00:00.0,34,4383,8,Passive,42:35.0,3,10213,no
00:00.0,00:00.0,34,4404,10,Promoter,39:20.0,3,10325,poder todos los productos por favor 
00:00.0,00:00.0,34,4281,8,Passive,06:53.0,3,10344,si
00:00.0,00:00.0,34,4241,7,Passive,19:02.0,3,10266,buena
00:00.0,00:00.0,34,4445,10,Promoter,59:59.0,3,10376,buenas promociones
00:00.0,00:00.0,34,5212,9,Promoter,17:53.0,3,10368,es buena y muy práctica
00:00.0,00:00.0,34,3878,5,Detractor,30:30.0,3,10215,bueno
00:00.0,00:00.0,34,4719,8,Passive,37:38.0,3,10138,ummm
00:00.0,00:00.0,34,4594,7,Passive,48:33.0,3,10418,buena
00:00.0,00:00.0,34,4736,3,Detractor,26:28.0,3,10194,le faltan productos
00:00.0,00:00.0,34,4800,6,Detractor,28:12.0,3,10435,buena
00:00.0,00:00.0,34,4892,6,Detractor,08:03.0,3,10333,Si
00:00.0,00:00.0,34,4524,8,Passive,25:42.0,3,10544,i
00:00.0,00:00.0,34,4551,8,Passive,27:23.0,3,10281,si
00:00.0,00:00.0,34,4763,8,Passive,38:54.0,3,10576,buenos descuentos 
00:00.0,00:00.0,34,3696,2,Detractor,27:29.0,3,10288,faltan productos 
00:00.0,00:00.0,34,4283,8,Passive,59:29.0,3,10334,Si
00:00.0,00:00.0,34,5764,6,Detractor,36:13.0,3,10351,ok
00:00.0,00:00.0,34,4256,8,Passive,35:19.0,3,10320,si
00:00.0,00:00.0,34,4287,1,Detractor,29:50.0,3,10324,.
00:00.0,00:00.0,34,4837,8,Passive,23:51.0,3,10258,si
00:00.0,00:00.0,34,4298,7,Passive,35:32.0,3,10419,puntualidad en la entrega
00:00.0,00:00.0,34,4394,2,Detractor,02:11.0,3,10260,aun le falta productos alá aplicacion 
00:00.0,00:00.0,34,4273,9,Promoter,20:25.0,3,10354,si
00:00.0,00:00.0,34,4952,7,Passive,07:38.0,3,10517,buena
00:00.0,00:00.0,34,4582,6,Detractor,22:40.0,3,10356,buena
00:00.0,00:00.0,34,3586,8,Passive,08:13.0,3,10297,es eficiente
00:00.0,00:00.0,34,4293,10,Promoter,47:35.0,3,10420,excelente servicio 
00:00.0,00:00.0,34,4288,8,Passive,40:57.0,3,10328,si
00:00.0,00:00.0,34,4503,1,Detractor,33:51.0,3,10388,No llega el pedido
00:00.0,00:00.0,34,4432,10,Promoter,50:42.0,3,10483,porque tienen buenos precios y buena atención.
